X,Y,Name: ,Address: ,Phone Number: ,,Website: ,Open for: ,Details:,Last Updated: 
-122.3187988,47.61336161,Bateau,"1040 E Union St, Seattle, WA 98122",206-900-8699,,https://www.restaurantbateau.com/,curbside,"Order can be place between 3-7 pm (up to 3 pm for day of)
Curbside pick up is between 4-8 pm",2020/06/04 15:01:22.775+00
-122.3144254,47.6147756,Nue,1519 14th Ave,206-257-0312,,https://www.nueseattle.com/,"takeout,delivery,third_party_delivery_service",Open 7 days a week,2020/03/27 01:38:15.543+00
-122.3280836,47.61443553,Terra Plata,"1501 Melrose Ave Seattle, WA 98122",(206) 325-1501,,http://www.terraplata.com/,"takeout,curbside,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3267947,47.59859928,A+ Hong Kong Kitchen,"419 6th Ave S, Seattle, WA 98104",206-682-1267,,https://www.facebook.com/aplushkkitchen/,"takeout,third_party_delivery_service",Hours 11 am- 10 pm everyday except closed Tuesdays,2020/06/04 14:54:49.922+00
-122.3214255,47.581182,Gourmondo,2415 Airport Way S. Seattle WA 98134,206-587-0190,,https://catering.gourmondoco.com/index.cfm?fuseaction=order&action=menu-category&category-id=191,delivery,"During the month of March, we will be taking orders up till 2PM business day prior for next day delivery. ",2020/05/11 15:33:25.276+00
-122.3869806,47.56219246,Lady Jaye,"4523 California Ave SW, Seattle, WA 98116",206-457-4029,,https://www.ladyjaye.com/,takeout,Smokehouse Lady Jaye is offering takeout family meals.,2020/03/27 01:38:15.543+00
-122.3488405,47.61399327,Buddha Bruddah - Truck,"2460 Western Ave, Seattle, WA 98121",206-448-2233,,https://www.buddhabruddah.com/,"takeout,delivery,third_party_delivery_service",,2020/06/04 14:45:56.807+00
-122.3864955,47.56001855,Falafel Salam,"4746 California Ave SW, Seattle, WA 98116",(206) 325-2335,,https://falafelsalam.com/,"takeout,delivery","Currently open for lunch and dinner, Tuesday thru Sunday, with online ordering available @ https://falafelsalam.square.site/fresh-food-menu.",2020/06/03 17:14:31.159+00
-122.3864615,47.56083241,Haymaker,"4706 California Ave SW, Seattle, WA 98116",206-946-6994,,https://www.haymakerseattle.com/,"takeout,curbside","Dinner from 5pm to 10pm
Weekend Brunch 10am to 2pm",2020/03/27 01:38:15.543+00
-122.3870877,47.55986876,Bakery Nouveau - West Seattle,"4737 California Ave SW, Seattle, WA 98116",(206) 923-0534,,http://www.bakerynouveau.com/,takeout,Both the Bakery Nouveau in West Seattle and the location in Capitol Hill have designated pick up areas for call-in orders.,2020/03/27 01:38:15.543+00
-122.2854279,47.55811168,Island Soul,"4869 Rainier Ave S Seattle, WA 98118", 206-329-1202,,https://www.islandsoulrestaurant.com/,"takeout,curbside,delivery,third_party_delivery_service",Mon to Sat: 11am to 8pm,2020/03/27 01:38:15.543+00
-122.3101178,47.57659848,Homer,"3013 Beacon Avenue South, Seattle, WA, 98144",206-785-6099,,https://www.restauranthomer.com/,takeout,Orders can be placed online  or over the phone at 206-785-6099.,2020/03/27 01:38:15.543+00
-122.3243177,47.68008861,Eight Row,"7102 Woodlawn Ave NE, Seattle, WA 98115",(206) 294-3178,,https://www.eightrow.com/,takeout,11AM - 8PM. Call to order. Pickup only.,2020/03/27 01:38:15.543+00
